	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	delmassflux	reldelmassflux	normmassflux	Time	fraction
0	H	0.0	1	Original	Slow	0	DOC	-0.27012168342672954	59.23721127777595	2.4532178276968466	205.0	1.0
1	H	0.0	1	Original	Slow	0	DO	-0.14189116024073417	99.57274402855921	234.05173171197853	205.0	1.0
2	H	0.0	1	Original	Slow	0	Ammonium	-0.006766997334964647	19.7865419150961	1.2466735930291468	205.0	1.0
3	H	0.0	1	Original	Slow	0	Nitrate	-0.10640466136507953	74.66993780003618	3.9478781856344147	205.0	1.0
4	H	0.0	1	Original	Slow	0	Sulphate	-5.697375238256086e-09	6.663596769888404e-07	1.0000000066635968	205.0	1.0
5	H	0.0	1	Original	Slow	0	Particulate organic matter	0.0019310788239542518	-67.75715171767521	0.5960997726540669	205.0	1.0
6	H	0.0	1	Original	Slow	0	Nitrogen	-0.10148103898398816	56.990048174832914	2.32504329245692	205.0	1.0
7	H	0.0	1	Original	Slow	0	TOC	-0.15321548626616915	32.6212498437508	1.4841474466074713	205.0	1.0
8	H	0.0	1	Original	Slow	2	DOC	-295.64821807806663	59.207078941581955	2.4514057195559413	205.0	1.0
9	H	0.0	1	Original	Slow	2	DO	-155.37890002404995	99.57272446973788	234.04101783841807	205.0	1.0
10	H	0.0	1	Original	Slow	2	Ammonium	-7.277341316016443	19.43165764516575	1.241182294152038	205.0	1.0
11	H	0.0	1	Original	Slow	2	Nitrate	-116.26690376445121	74.50826574068492	3.922840203132058	205.0	1.0
12	H	0.0	1	Original	Slow	2	Sulphate	-6.916113648003375e-06	7.386848949754874e-07	1.000000007386849	205.0	1.0
13	H	0.0	1	Original	Slow	2	Particulate organic matter	2.090854716107687	-66.9949718143899	0.5988204250314022	205.0	1.0
14	H	0.0	1	Original	Slow	2	Nitrogen	-110.54732778306742	56.69249626861198	2.3090686690288944	205.0	1.0
15	H	0.0	1	Original	Slow	2	TOC	-165.67904510406436	32.21281863786117	1.4752051640231347	205.0	1.0
16	H	0.0	1	Original	Slow	5	DOC	-295.3461579667867	59.174185360448305	2.4494306086208715	205.0	1.0
17	H	0.0	1	Original	Slow	5	DO	-155.30772757415812	99.57355339402629	234.4959453286443	205.0	1.0
18	H	0.0	1	Original	Slow	5	Ammonium	-7.2730012598286535	19.429130330260257	1.2411433612408596	205.0	1.0
19	H	0.0	1	Original	Slow	5	Nitrate	-116.0144166741348	74.38115213979167	3.903376160616569	205.0	1.0
20	H	0.0	1	Original	Slow	5	Sulphate	-7.550358759544906e-06	8.068025792305517e-07	1.0000000080680258	205.0	1.0
21	H	0.0	1	Original	Slow	5	Particulate organic matter	2.099221358485309	-67.29443965536383	0.5977484978341525	205.0	1.0
22	H	0.0	1	Original	Slow	5	Nitrogen	-110.06804073279093	56.47303907859912	2.2974266496706655	205.0	1.0
23	H	0.0	1	Original	Slow	5	TOC	-163.15238595506173	31.73636386197443	1.4649087809768166	205.0	1.0
24	H	0.0	1	Original	Slow	1	DOC	-295.4926448882507	59.237211994320646	2.453217870820497	205.0	1.0
25	H	0.0	1	Original	Slow	1	DO	-155.22000313602	99.57391918169556	234.69725860446147	205.0	1.0
26	H	0.0	1	Original	Slow	1	Ammonium	-7.2748343370118	19.44508202601138	1.2413891356985831	205.0	1.0
27	H	0.0	1	Original	Slow	1	Nitrate	-116.25166847150149	74.57566039974095	3.933238840114499	205.0	1.0
28	H	0.0	1	Original	Slow	1	Sulphate	-6.650334285041026e-06	7.110336245877243e-07	1.0000000071103363	205.0	1.0
29	H	0.0	1	Original	Slow	1	Particulate organic matter	2.1195129058770843	-67.983572519781	0.5952963048706709	205.0	1.0
30	H	0.0	1	Original	Slow	1	Nitrogen	-110.59895411187762	56.777715813099945	2.313621361786065	205.0	1.0
31	H	0.0	1	Original	Slow	1	TOC	-166.21715792189423	32.35091453958931	1.478216583704174	205.0	1.0
32	37	0.1	2	Original	Slow	0	DOC	-0.27039461357209393	59.23812632930003	2.453272899275015	205.0	1.0
33	37	0.1	2	Original	Slow	0	DO	-0.14203223018470418	99.57267220216035	234.0123916710912	205.0	1.0
34	37	0.1	2	Original	Slow	0	Ammonium	-0.006768248382222616	19.770529567756288	1.2464247795883574	205.0	1.0
35	37	0.1	2	Original	Slow	0	Nitrate	-0.10650996544062191	74.66954409777765	3.9478168251692023	205.0	1.0
36	37	0.1	2	Original	Slow	0	Sulphate	-5.71406899574356e-09	6.676478973748857e-07	1.000000006676479	205.0	1.0
37	37	0.1	2	Original	Slow	0	Particulate organic matter	0.001937863251861083	-67.92761829453984	0.5954946602327384	205.0	1.0
38	37	0.1	2	Original	Slow	0	Nitrogen	-0.10156612476764289	56.98113842720976	2.324561746730433	205.0	1.0
39	37	0.1	2	Original	Slow	0	TOC	-0.15327372302007747	32.60121301571048	1.4837062278778064	205.0	1.0
40	37	0.1	2	Original	Slow	2	DOC	-295.8675858539658	59.19210904986189	2.4505064503869334	205.0	1.0
41	37	0.1	2	Original	Slow	2	DO	-155.53147998114795	99.57142196198042	233.32973491150273	205.0	1.0
42	37	0.1	2	Original	Slow	2	Ammonium	-7.312686996616147	19.506625569311648	1.242338275755957	205.0	1.0
43	37	0.1	2	Original	Slow	2	Nitrate	-116.34732839738069	74.48568567217973	3.9193685048773608	205.0	1.0
44	37	0.1	2	Original	Slow	2	Sulphate	-6.870587071716727e-06	7.330928809689171e-07	1.0000000073309288	205.0	1.0
45	37	0.1	2	Original	Slow	2	Particulate organic matter	2.1078090088688413	-67.47108053713073	0.5971180198949547	205.0	1.0
