	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
59	38	0.1	5	Original	Slow	2	Nitrate	85	130	0.7842631309690782	1.0	205.0
60	38	0.1	5	Original	Slow	2	Sulphate	0	0	0.011327571629222146	1.0	205.0
61	38	0.1	5	Original	Slow	2	Particulate organic matter	40	0	0.5709762293763826	1.0	205.0
62	38	0.1	5	Original	Slow	2	Nitrogen	445	0	-0.5730869004594329	1.0	205.0
63	38	0.1	5	Original	Slow	2	TOC	390	0	-0.7726388125561228	1.0	205.0
64	38	0.1	5	Original	Slow	5	DOC	45	0	0.15424306842166005	1.0	205.0
65	38	0.1	5	Original	Slow	5	DO	70	85	0.7453644961006921	1.0	205.0
66	38	0.1	5	Original	Slow	5	Ammonium	235	0	-0.365168097118178	1.0	205.0
67	38	0.1	5	Original	Slow	5	Nitrate	90	175	0.8379087412630085	1.0	205.0
68	38	0.1	5	Original	Slow	5	Sulphate	0	0	-0.03359671710487559	1.0	205.0
69	38	0.1	5	Original	Slow	5	Particulate organic matter	20	0	0.6383192554084887	1.0	205.0
70	38	0.1	5	Original	Slow	5	Nitrogen	435	0	-0.5250851458666237	1.0	205.0
71	38	0.1	5	Original	Slow	5	TOC	365	0	-0.7353700679652376	1.0	205.0
72	39	0.1	10	Original	Slow	1	DOC	0	0	0.1642643938517783	0.9878048780487804	202.5
73	39	0.1	10	Original	Slow	1	DO	85	0	0.5912414954944829	0.9878048780487804	202.5
74	39	0.1	10	Original	Slow	1	Ammonium	215	0	-0.12344217365462376	0.9878048780487804	202.5
75	39	0.1	10	Original	Slow	1	Nitrate	80	0	0.6176128045732808	0.9878048780487804	202.5
76	39	0.1	10	Original	Slow	1	Sulphate	0	0	0.07464801611420795	0.9878048780487804	202.5
77	39	0.1	10	Original	Slow	1	Particulate organic matter	55	0	0.6900232840023472	0.9878048780487804	202.5
78	39	0.1	10	Original	Slow	1	Nitrogen	310	0	-0.39755186549141736	0.9878048780487804	202.5
79	39	0.1	10	Original	Slow	1	TOC	290	0	-0.5962437280081979	0.9878048780487804	202.5
80	39	0.1	10	Original	Slow	2	DOC	0	0	0.10872259122761946	0.9878048780487804	202.5
81	39	0.1	10	Original	Slow	2	DO	60	0	0.6431972910297934	0.9878048780487804	202.5
