Day,H1,H2,H3
139,1.204996094,0.378055077,1.573317642
140,1.15036459,0.395347966,1.539599667
141,1.100770609,0.415073405,1.566632226
142,1.120696933,0.423883126,1.555915119
143,1.192645964,0.422238453,1.527902844
144,1.183677222,0.422652576,1.544507575
145,1.167489266,0.436044773,1.542793411
146,1.124980638,0.4591539,1.551544967
147,1.10748756,0.475249039,1.562348366
148,1.129191287,0.467979302,1.563629165
149,1.079664041,0.435953324,1.598562389
150,1.102774259,0.395063031,1.584358593
151,1.157008605,0.366837807,1.558983403
152,1.232692489,0.363285011,1.598301268
153,1.315276101,0.380608669,1.610800066
154,1.249394428,0.405131936,1.621720763
155,1.213738406,0.424183717,1.644217706
156,1.186565962,0.432418787,1.632930187
157,1.180457667,0.430658331,1.640888528
158,1.250770354,0.421829364,1.619017973
159,1.229699898,0.409354073,1.581658007
160,1.273465948,0.398021059,1.613093935
161,1.297182211,0.393238717,1.616119468
162,1.255054754,0.39685999,1.593151529
163,1.254320177,0.403613564,1.606659562
164,1.155943137,0.40390895,1.609362951
165,1.162671378,0.39295488,1.619315266
166,1.214007534,0.378219285,1.624859392
167,1.229994193,0.376399698,1.62263879
168,1.318733527,0.399975026,1.64442706
169,1.273604172,0.44429721,1.618811195
170,1.253340285,0.487817305,1.568949746
171,1.225894831,0.507294435,1.55018483
172,1.145883524,0.49589931,1.532452662
173,1.214400529,0.468344004,1.537188649
174,1.230243465,0.448003954,1.538069682
175,1.303749502,0.447028099,1.546812791
176,1.375334463,0.456849516,1.597671531
177,1.331043138,0.457184155,1.595394445
178,1.37284606,0.435085242,1.59400629
179,1.305962421,0.397082651,1.650035644
180,1.269691519,0.364350349,1.659623923
181,1.302713976,0.356199485,1.664853781
182,1.301864222,0.376630974,1.67173216
183,1.450187852,0.414269849,1.645099569
184,1.484409473,0.453191295,1.662024085
185,1.463176501,0.483555635,1.659864889
186,1.453203174,0.503803864,1.646148454
187,1.36511997,0.515895866,1.705702258
188,1.430359019,0.521125434,1.722731133
189,1.441001717,0.520981714,1.701314062
190,1.450926342,0.520058673,1.712161533
191,1.537962472,0.525130588,1.703442331
192,1.5331362,0.539446396,1.701943975
193,1.594399438,0.558141706,1.697502851
194,1.524142887,0.571084105,1.682345146
195,1.403287483,0.572116095,1.703989567
196,1.409313821,0.566095552,1.695675616
197,1.404950082,0.565925948,1.674538625
