	Unnamed: 0	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	delmassflux	reldelmassflux	normmassflux	Time	fraction	relbase	normmassflux_fraction
28	28	H	0.0	1	Original	Slow	1	Sulphate	-6.650334285041026e-06	7.110336245877245e-07	0.9999999928896637	205.0	1.0	0.9999999933364032	0.9999999995532605
29	29	H	0.0	1	Original	Slow	1	Particulate organic matter	2.1195129058770843	-67.98357251978099	1.67983572519781	205.0	1.0	1.677571517176752	1.0013496938865942
30	30	H	0.0	1	Original	Slow	1	Nitrogen	-110.59895411187763	56.77771581309994	0.43222284186900056	205.0	1.0	0.43009951825167086	1.0049368193341879
31	31	H	0.0	1	Original	Slow	1	TOC	-166.21715792189426	32.35091453958931	0.6764908546041069	205.0	1.0	0.673787501562492	1.0040121745139912
32	32	37	0.1	2	Original	Slow	0	DOC	-0.27039461357209393	59.23812632930003	0.40761873670699966	205.0	1.0	0.40761873670699966	1.0
33	33	37	0.1	2	Original	Slow	0	DO	-0.14203223018470418	99.57267220216036	0.004273277978396626	205.0	1.0	0.004273277978396626	1.0
34	34	37	0.1	2	Original	Slow	0	Ammonium	-0.006768248382222616	19.770529567756288	0.8022947043224371	205.0	1.0	0.8022947043224371	1.0
35	35	37	0.1	2	Original	Slow	0	Nitrate	-0.10650996544062193	74.66954409777765	0.25330455902222376	205.0	1.0	0.25330455902222376	1.0
36	36	37	0.1	2	Original	Slow	0	Sulphate	-5.714068995743559e-09	6.676478973748857e-07	0.9999999933235211	205.0	1.0	0.9999999933235211	1.0
37	37	37	0.1	2	Original	Slow	0	Particulate organic matter	0.0019378632518610827	-67.92761829453984	1.6792761829453984	205.0	1.0	1.6792761829453984	1.0
38	38	37	0.1	2	Original	Slow	0	Nitrogen	-0.10156612476764287	56.98113842720976	0.43018861572790246	205.0	1.0	0.43018861572790246	1.0
39	39	37	0.1	2	Original	Slow	0	TOC	-0.15327372302007747	32.601213015710485	0.6739878698428953	205.0	1.0	0.6739878698428953	1.0
40	40	37	0.1	2	Original	Slow	2	DOC	-295.8675858539658	59.19210904986189	0.4080789095013811	205.0	1.0	0.40761873670699966	1.0011289294454395
