,Unnamed: 0,Trial,Variance,Anisotropy,Regime,Time_series,Chem,Sensitivity,Timloc_max,Sensitivitybase,Timloc_maxbase,fraction,Time,Sensitivity%,Sensitivitybase%,Da63,Pe,cov,sensbase,Senssquared
0,0,H,0.0,1,Slow,1,DOC,0.002839880371142049,4.0,0.002834288040078661,4.0,1.0,205.0,0.2839880371142049,0.2834288040078661,0.9025883932295145,2,0.15,0.2834288040078661,1.0
1,17,H,0.0,1,Slow,2,DOC,0.002693880578116707,3.0,0.002690464077369278,3.0,1.0,205.0,0.2693880578116707,0.26904640773692784,0.9025883932295145,2,0.17,0.26904640773692784,1.0
2,34,H,0.0,1,Slow,5,DOC,0.0028159293726634643,4.0,0.002810745312643391,4.0,1.0,205.0,0.28159293726634643,0.2810745312643391,0.9025883932295145,2,0.27,0.2810745312643391,1.0
3,1,H,0.0,1,Slow,1,DO,0.016533826172429218,4.0,0.01636422144473199,4.0,1.0,205.0,1.6533826172429218,1.6364221444731986,327.43292487900976,2,0.15,1.6364221444731986,1.0
4,18,H,0.0,1,Slow,2,DO,0.021906157410153188,1.0,0.021623358973990724,1.0,1.0,205.0,2.190615741015318,2.1623358973990725,327.43292487900976,2,0.17,2.1623358973990725,1.0
5,35,H,0.0,1,Slow,5,DO,0.0449089708917162,3.0,0.0434230316206027,3.0,1.0,205.0,4.49089708917162,4.34230316206027,327.43292487900976,2,0.27,4.34230316206027,1.0
6,2,H,0.0,1,Slow,1,Ammonium,0.003891441839918557,6.0,0.0039047327239463904,6.0,1.0,205.0,0.3891441839918557,0.3904732723946391,0.22175345690370166,2,0.15,0.3904732723946391,1.0
7,19,H,0.0,1,Slow,2,Ammonium,0.006325736742456871,1.0,0.006360755783328036,1.0,1.0,205.0,0.632573674245687,0.6360755783328036,0.22175345690370166,2,0.17,0.6360755783328036,1.0
8,36,H,0.0,1,Slow,5,Ammonium,0.010320479529962632,1.0,0.01040272868723733,1.0,1.0,205.0,1.0320479529962634,1.040272868723733,0.22175345690370166,2,0.27,1.040272868723733,1.0
9,3,H,0.0,1,Slow,1,Nitrate,0.015789563272502725,4.0,0.015731411627859026,4.0,1.0,205.0,1.5789563272502725,1.5731411627859029,1.3811165467836013,2,0.15,1.5731411627859029,1.0
10,20,H,0.0,1,Slow,2,Nitrate,0.032606432514674225,1.0,0.032279015204352286,1.0,1.0,205.0,3.2606432514674224,3.2279015204352284,1.3811165467836013,2,0.17,3.2279015204352284,1.0
11,37,H,0.0,1,Slow,5,Nitrate,0.04254383855058011,1.0,0.04188975121420355,1.0,1.0,205.0,4.254383855058012,4.1889751214203566,1.3811165467836013,2,0.27,4.1889751214203566,1.0
12,15,H,0.0,1,Slow,1,Nitrogen,0.011374561599740741,6.0,0.011360642823168423,6.0,1.0,205.0,1.1374561599740742,1.1360642823168423,0.8486162736541879,2,0.15,1.1360642823168423,1.0
13,32,H,0.0,1,Slow,2,Nitrogen,0.02097150087259631,1.0,0.021173131919839085,1.0,1.0,205.0,2.0971500872596307,2.1173131919839085,0.8486162736541879,2,0.17,2.1173131919839085,1.0
14,49,H,0.0,1,Slow,5,Nitrogen,0.02307666059837454,1.0,0.023364587662515243,1.0,1.0,205.0,2.307666059837454,2.3364587662515244,0.8486162736541879,2,0.27,2.3364587662515244,1.0
15,16,H,0.0,1,Slow,1,TOC,0.023104506323510503,6.0,0.023038010478652126,6.0,1.0,205.0,2.3104506323510505,2.303801047865212,0.39712305211389504,2,0.15,2.303801047865212,1.0
16,33,H,0.0,1,Slow,2,TOC,0.07809698295578194,1.0,0.0803756383337762,1.0,1.0,205.0,7.809698295578194,8.03756383337762,0.39712305211389504,2,0.17,8.03756383337762,1.0
17,50,H,0.0,1,Slow,5,TOC,0.08852745058129997,1.0,0.09204564921269293,1.0,1.0,205.0,8.85274505813,9.204564921269293,0.39712305211389504,2,0.27,9.204564921269293,1.0
18,51,37,0.1,2,Slow,1,DOC,0.002854097202769409,4.0,0.0028494601143247136,4.0,1.0,205.0,0.28540972027694084,0.2849460114324713,0.9026109714623268,2,0.15,0.2834288040078661,1.0053530459965638
19,68,37,0.1,2,Slow,2,DOC,0.0025761911238917088,3.0,0.002573669786225266,3.0,1.0,205.0,0.2576191123891709,0.2573669786225266,0.9026109714623268,2,0.17,0.26904640773692784,0.9565895370518334
20,85,37,0.1,2,Slow,5,DOC,0.0026320818880068405,1.0,0.0026286028286096907,1.0,1.0,205.0,0.26320818880068403,0.262860282860969,0.9026109714623268,2,0.27,0.2810745312643391,0.935197798528959
21,52,37,0.1,2,Slow,1,DO,0.015429897006194819,4.0,0.015328780393417509,4.0,1.0,205.0,1.5429897006194817,1.5328780393417512,309.7404003154532,2,0.15,1.6364221444731986,0.9367253092478893
22,69,37,0.1,2,Slow,2,DO,0.020174296465803845,1.0,0.019987050993970815,1.0,1.0,205.0,2.0174296465803843,1.9987050993970816,309.7404003154532,2,0.17,2.1623358973990725,0.9243268364555149
23,86,37,0.1,2,Slow,5,DO,0.031315350659032584,1.0,0.030732463230594767,1.0,1.0,205.0,3.1315350659032597,3.0732463230594766,309.7404003154532,2,0.27,4.34230316206027,0.707745684343543
24,53,37,0.1,2,Slow,1,Ammonium,0.0037349169342310467,6.0,0.00374434379947801,6.0,1.0,205.0,0.3734916934231046,0.374434379947801,0.2215527012310372,2,0.15,0.3904732723946391,0.9589244806732172
