,Unnamed: 0,Trial,Variance,Anisotropy,Regime,Time_series,Chem,Sensitivity,Timloc_max,Sensitivitybase,Timloc_maxbase,fraction,Time,Sensitivity%,Sensitivitybase%,cov,sensbase,Senssquared
0,0,H,0.0,1,Slow,1,Immobile active aerobic degraders,0.041669649467178216,4.0,0.041318037663713635,0.041318037663713635,1.0,205.0,4.166964946717822,4.131803766371363,0.15,4.131803766371363,1.0
1,1,H,0.0,1,Slow,1,Immobile active nitrate reducers,0.06539221828514706,4.0,0.06515021610640498,0.06515021610640498,1.0,205.0,6.539221828514706,6.515021610640496,0.15,6.515021610640496,1.0
2,2,H,0.0,1,Slow,1,Immobile active sulphate reducers,0.019075409371685628,10.0,0.019358810334695727,0.019358810334695727,1.0,205.0,1.9075409371685628,1.9358810334695724,0.15,1.9358810334695724,1.0
3,3,H,0.0,1,Slow,1,Immobile active ammonia oxidizers,0.12400671601527785,4.0,0.11394020259022655,0.11394020259022655,1.0,205.0,12.400671601527787,11.394020259022655,0.15,11.394020259022655,1.0
4,4,H,0.0,1,Slow,1,Mobile active aerobic degraders,0.07684167596353796,6.0,0.08187189971061795,0.08187189971061795,1.0,205.0,7.684167596353794,8.187189971061795,0.15,8.187189971061795,1.0
5,5,H,0.0,1,Slow,1,Mobile active nitrate reducers,0.029572177289809636,10.0,0.030638651414459612,0.030638651414459612,1.0,205.0,2.957217728980964,3.0638651414459614,0.15,3.0638651414459614,1.0
6,6,H,0.0,1,Slow,1,Mobile active sulphate reducers,0.04424070823668003,10.0,0.04426124966169077,0.04426124966169077,1.0,205.0,4.424070823668004,4.426124966169077,0.15,4.426124966169077,1.0
7,7,H,0.0,1,Slow,1,Mobile active ammonia oxidizers,0.09776341163728874,6.0,0.09016602103965812,0.09016602103965812,1.0,205.0,9.776341163728873,9.016602103965813,0.15,9.016602103965813,1.0
8,8,H,0.0,1,Slow,1,Immobile inactive aerobic degraders,0.013829709176050224,4.0,0.01380802008551888,0.01380802008551888,1.0,205.0,1.3829709176050224,1.3808020085518882,0.15,1.3808020085518882,1.0
9,9,H,0.0,1,Slow,1,Immobile inactive nitrate reducers,0.01854104765612826,4.0,0.01878413357466252,0.01878413357466252,1.0,205.0,1.854104765612826,1.8784133574662518,0.15,1.8784133574662518,1.0
10,10,H,0.0,1,Slow,1,Immobile inactive sulphate reducers,0.03200704365522609,4.0,0.031925828899944775,0.031925828899944775,1.0,205.0,3.2007043655226086,3.192582889994477,0.15,3.192582889994477,1.0
11,11,H,0.0,1,Slow,1,Immobile inactive ammonia oxidizers,0.08683812235914723,4.0,0.0952596911887272,0.0952596911887272,1.0,205.0,8.683812235914722,9.525969118872721,0.15,9.525969118872721,1.0
12,12,H,0.0,1,Slow,1,Mobile inactive aerobic degraders,0.0802077505777767,4.0,0.08273550108806275,0.08273550108806275,1.0,205.0,8.02077505777767,8.273550108806276,0.15,8.273550108806276,1.0
13,13,H,0.0,1,Slow,1,Mobile inactive nitrate reducers,0.07532146789846532,4.0,0.0780992054433423,0.0780992054433423,1.0,205.0,7.532146789846532,7.80992054433423,0.15,7.80992054433423,1.0
14,14,H,0.0,1,Slow,1,Mobile inactive sulphate reducers,0.044362217025898314,4.0,0.04505028859120077,0.04505028859120077,1.0,205.0,4.436221702589831,4.505028859120077,0.15,4.505028859120077,1.0
15,15,H,0.0,1,Slow,1,Mobile inactive ammonia oxidizers,0.11295977341284053,4.0,0.1269864536741205,0.1269864536741205,1.0,205.0,11.295977341284054,12.69864536741205,0.15,12.69864536741205,1.0
16,16,H,0.0,1,Slow,2,Immobile active aerobic degraders,0.08327555410546057,1.0,0.08232669048797618,0.08232669048797618,1.0,205.0,8.327555410546058,8.232669048797616,0.17,8.232669048797616,1.0
17,17,H,0.0,1,Slow,2,Immobile active nitrate reducers,0.13697497227375455,1.0,0.13582445798890608,0.13582445798890608,1.0,205.0,13.697497227375456,13.582445798890607,0.17,13.582445798890607,1.0
18,18,H,0.0,1,Slow,2,Immobile active sulphate reducers,0.0798295614859783,1.0,0.0805701923830712,0.0805701923830712,1.0,205.0,7.982956148597831,8.05701923830712,0.17,8.05701923830712,1.0
19,19,H,0.0,1,Slow,2,Immobile active ammonia oxidizers,0.2367460712499293,1.0,0.21750291532377533,0.21750291532377533,1.0,205.0,23.674607124992928,21.750291532377528,0.17,21.750291532377528,1.0
20,20,H,0.0,1,Slow,2,Mobile active aerobic degraders,0.10334495748250433,1.0,0.10980949663583618,0.10980949663583618,1.0,205.0,10.334495748250433,10.980949663583619,0.17,10.980949663583619,1.0
21,21,H,0.0,1,Slow,2,Mobile active nitrate reducers,0.04719417416101314,1.0,0.04979591754320742,0.04979591754320742,1.0,205.0,4.719417416101313,4.979591754320742,0.17,4.979591754320742,1.0
22,22,H,0.0,1,Slow,2,Mobile active sulphate reducers,0.07353166803389219,1.0,0.07385848955764658,0.07385848955764658,1.0,205.0,7.353166803389219,7.385848955764657,0.17,7.385848955764657,1.0
23,23,H,0.0,1,Slow,2,Mobile active ammonia oxidizers,0.10662262135872944,1.0,0.09914673951312096,0.09914673951312096,1.0,205.0,10.662262135872943,9.914673951312096,0.17,9.914673951312096,1.0
24,24,H,0.0,1,Slow,2,Immobile inactive aerobic degraders,0.0455358755236229,1.0,0.045858738703408085,0.045858738703408085,1.0,205.0,4.5535875523622895,4.585873870340809,0.17,4.585873870340809,1.0
25,25,H,0.0,1,Slow,2,Immobile inactive nitrate reducers,0.0237713417364956,1.0,0.02415028844917544,0.02415028844917544,1.0,205.0,2.37713417364956,2.4150288449175434,0.17,2.4150288449175434,1.0
26,26,H,0.0,1,Slow,2,Immobile inactive sulphate reducers,0.14163501074671586,1.0,0.1386654634838807,0.1386654634838807,1.0,205.0,14.163501074671586,13.866546348388072,0.17,13.866546348388072,1.0
27,27,H,0.0,1,Slow,2,Immobile inactive ammonia oxidizers,0.13737596096416735,1.0,0.14479234811490882,0.14479234811490882,1.0,205.0,13.737596096416734,14.479234811490883,0.17,14.479234811490883,1.0
28,28,H,0.0,1,Slow,2,Mobile inactive aerobic degraders,0.22489754309445734,1.0,0.2501262879312969,0.2501262879312969,1.0,205.0,22.489754309445733,25.012628793129693,0.17,25.012628793129693,1.0
29,29,H,0.0,1,Slow,2,Mobile inactive nitrate reducers,0.19511261470814967,1.0,0.21608463625384872,0.21608463625384872,1.0,205.0,19.511261470814965,21.608463625384868,0.17,21.608463625384868,1.0
30,30,H,0.0,1,Slow,2,Mobile inactive sulphate reducers,0.06208158135971965,1.0,0.06370337437947991,0.06370337437947991,1.0,205.0,6.208158135971964,6.370337437947991,0.17,6.370337437947991,1.0
31,31,H,0.0,1,Slow,2,Mobile inactive ammonia oxidizers,0.13747104547286654,1.0,0.15402165619420902,0.15402165619420902,1.0,205.0,13.747104547286654,15.402165619420902,0.17,15.402165619420902,1.0
