,Trial,Variance,Anisotropy,Regime,Time_series,Chem,Sensitivity,Timloc_max,Sensitivitybase,Timloc_maxbase,fraction,Time,Sensitivity%,Sensitivitybase%
0,H,0.0,1,Slow,1,Immobile active aerobic degraders,0.041669649467178216,4.0,0.041318037663713635,0.041318037663713635,1.0,205.0,4.166964946717822,4.131803766371363
1,H,0.0,1,Slow,1,Immobile active nitrate reducers,0.06539221828514706,4.0,0.06515021610640497,0.06515021610640497,1.0,205.0,6.539221828514706,6.515021610640496
2,H,0.0,1,Slow,1,Immobile active sulphate reducers,0.019075409371685628,10.0,0.019358810334695723,0.019358810334695723,1.0,205.0,1.9075409371685628,1.9358810334695724
3,H,0.0,1,Slow,1,Immobile active ammonia oxidizers,0.12400671601527785,4.0,0.11394020259022657,0.11394020259022657,1.0,205.0,12.400671601527785,11.394020259022657
4,H,0.0,1,Slow,1,Mobile active aerobic degraders,0.07684167596353796,6.0,0.08187189971061795,0.08187189971061795,1.0,205.0,7.684167596353795,8.187189971061795
5,H,0.0,1,Slow,1,Mobile active nitrate reducers,0.02957217728980964,10.0,0.03063865141445961,0.03063865141445961,1.0,205.0,2.957217728980964,3.063865141445961
6,H,0.0,1,Slow,1,Mobile active sulphate reducers,0.04424070823668003,10.0,0.04426124966169077,0.04426124966169077,1.0,205.0,4.4240708236680035,4.426124966169077
7,H,0.0,1,Slow,1,Mobile active ammonia oxidizers,0.09776341163728874,6.0,0.09016602103965812,0.09016602103965812,1.0,205.0,9.776341163728874,9.016602103965813
8,H,0.0,1,Slow,1,Immobile inactive aerobic degraders,0.013829709176050224,4.0,0.013808020085518881,0.013808020085518881,1.0,205.0,1.3829709176050224,1.3808020085518882
9,H,0.0,1,Slow,1,Immobile inactive nitrate reducers,0.01854104765612826,4.0,0.01878413357466252,0.01878413357466252,1.0,205.0,1.854104765612826,1.878413357466252
10,H,0.0,1,Slow,1,Immobile inactive sulphate reducers,0.03200704365522609,4.0,0.031925828899944775,0.031925828899944775,1.0,205.0,3.2007043655226086,3.1925828899944775
11,H,0.0,1,Slow,1,Immobile inactive ammonia oxidizers,0.08683812235914722,4.0,0.0952596911887272,0.0952596911887272,1.0,205.0,8.683812235914722,9.52596911887272
12,H,0.0,1,Slow,1,Mobile inactive aerobic degraders,0.0802077505777767,4.0,0.08273550108806275,0.08273550108806275,1.0,205.0,8.02077505777767,8.273550108806276
13,H,0.0,1,Slow,1,Mobile inactive nitrate reducers,0.07532146789846533,4.0,0.0780992054433423,0.0780992054433423,1.0,205.0,7.532146789846533,7.80992054433423
14,H,0.0,1,Slow,1,Mobile inactive sulphate reducers,0.04436221702589831,4.0,0.04505028859120077,0.04505028859120077,1.0,205.0,4.4362217025898305,4.505028859120077
15,H,0.0,1,Slow,1,Mobile inactive ammonia oxidizers,0.11295977341284053,4.0,0.1269864536741205,0.1269864536741205,1.0,205.0,11.295977341284052,12.69864536741205
16,H,0.0,1,Slow,2,Immobile active aerobic degraders,0.08327555410546057,1.0,0.08232669048797618,0.08232669048797618,1.0,205.0,8.327555410546058,8.232669048797618
17,H,0.0,1,Slow,2,Immobile active nitrate reducers,0.13697497227375457,1.0,0.13582445798890608,0.13582445798890608,1.0,205.0,13.697497227375457,13.582445798890607
18,H,0.0,1,Slow,2,Immobile active sulphate reducers,0.0798295614859783,1.0,0.0805701923830712,0.0805701923830712,1.0,205.0,7.982956148597831,8.05701923830712
19,H,0.0,1,Slow,2,Immobile active ammonia oxidizers,0.2367460712499293,1.0,0.21750291532377533,0.21750291532377533,1.0,205.0,23.67460712499293,21.750291532377535
20,H,0.0,1,Slow,2,Mobile active aerobic degraders,0.10334495748250432,1.0,0.10980949663583618,0.10980949663583618,1.0,205.0,10.334495748250431,10.980949663583619
21,H,0.0,1,Slow,2,Mobile active nitrate reducers,0.04719417416101314,1.0,0.04979591754320742,0.04979591754320742,1.0,205.0,4.719417416101314,4.979591754320742
22,H,0.0,1,Slow,2,Mobile active sulphate reducers,0.07353166803389219,1.0,0.07385848955764658,0.07385848955764658,1.0,205.0,7.353166803389219,7.385848955764658
23,H,0.0,1,Slow,2,Mobile active ammonia oxidizers,0.10662262135872945,1.0,0.09914673951312096,0.09914673951312096,1.0,205.0,10.662262135872945,9.914673951312096
24,H,0.0,1,Slow,2,Immobile inactive aerobic degraders,0.0455358755236229,1.0,0.045858738703408085,0.045858738703408085,1.0,205.0,4.5535875523622895,4.585873870340809
25,H,0.0,1,Slow,2,Immobile inactive nitrate reducers,0.0237713417364956,1.0,0.024150288449175435,0.024150288449175435,1.0,205.0,2.37713417364956,2.4150288449175434
26,H,0.0,1,Slow,2,Immobile inactive sulphate reducers,0.14163501074671586,1.0,0.1386654634838807,0.1386654634838807,1.0,205.0,14.163501074671586,13.86654634838807
27,H,0.0,1,Slow,2,Immobile inactive ammonia oxidizers,0.13737596096416735,1.0,0.14479234811490882,0.14479234811490882,1.0,205.0,13.737596096416734,14.479234811490882
28,H,0.0,1,Slow,2,Mobile inactive aerobic degraders,0.22489754309445736,1.0,0.2501262879312969,0.2501262879312969,1.0,205.0,22.489754309445736,25.012628793129686
29,H,0.0,1,Slow,2,Mobile inactive nitrate reducers,0.19511261470814967,1.0,0.21608463625384872,0.21608463625384872,1.0,205.0,19.511261470814965,21.60846362538487
30,H,0.0,1,Slow,2,Mobile inactive sulphate reducers,0.062081581359719654,1.0,0.06370337437947991,0.06370337437947991,1.0,205.0,6.208158135971965,6.370337437947991
