	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
50	37	0.1	2	Original	Slow	1	Immobile active sulphate reducers	0	0	0.5249694226226075	1.0	205.0
51	37	0.1	2	Original	Slow	1	Immobile active ammonia oxidizers	25	60	0.8917368912392624	1.0	205.0
52	37	0.1	2	Original	Slow	1	Mobile active aerobic degraders	20	0	-0.7666153403118366	1.0	205.0
53	37	0.1	2	Original	Slow	1	Mobile active nitrate reducers	155	0	-0.7026145434751366	1.0	205.0
54	37	0.1	2	Original	Slow	1	Mobile active sulphate reducers	0	40	0.9828639290059691	1.0	205.0
55	37	0.1	2	Original	Slow	1	Mobile active ammonia oxidizers	15	30	0.7946032868583819	1.0	205.0
56	37	0.1	2	Original	Slow	1	Immobile inactive aerobic degraders	80	0	-0.6841911596147653	1.0	205.0
57	37	0.1	2	Original	Slow	1	Immobile inactive nitrate reducers	20	0	-0.8937258000493177	1.0	205.0
58	37	0.1	2	Original	Slow	1	Immobile inactive sulphate reducers	475	0	0.4970567246226506	1.0	205.0
59	37	0.1	2	Original	Slow	1	Immobile inactive ammonia oxidizers	15	0	-0.8033139200769684	1.0	205.0
60	37	0.1	2	Original	Slow	1	Mobile inactive aerobic degraders	130	0	-0.7268837778346976	1.0	205.0
61	37	0.1	2	Original	Slow	1	Mobile inactive nitrate reducers	130	0	-0.7265303594379202	1.0	205.0
62	37	0.1	2	Original	Slow	1	Mobile inactive sulphate reducers	115	0	-0.688684053168698	1.0	205.0
63	37	0.1	2	Original	Slow	1	Mobile inactive ammonia oxidizers	30	0	-0.7611256846786695	1.0	205.0
64	37	0.1	2	Original	Slow	2	Immobile active aerobic degraders	0	185	0.9830380262158539	1.0	205.0
65	37	0.1	2	Original	Slow	2	Immobile active nitrate reducers	20	220	0.9840720861878318	1.0	205.0
66	37	0.1	2	Original	Slow	2	Immobile active sulphate reducers	445	200	0.7621000684946085	1.0	205.0
67	37	0.1	2	Original	Slow	2	Immobile active ammonia oxidizers	25	230	0.9482834622326299	1.0	205.0
68	37	0.1	2	Original	Slow	2	Mobile active aerobic degraders	15	0	-0.7467400876352486	1.0	205.0
69	37	0.1	2	Original	Slow	2	Mobile active nitrate reducers	180	0	-0.7444248482261745	1.0	205.0
