Unnamed: 0,Trial,Variance,Anisotropy,Domain,Regime,Time_series,Chem,delmassflux,reldelmassflux,normmassflux,Time,fraction,reldelmf_h_base,reldelmf_t_base,reldelmf_h_fraction,reldelmf_t_fraction
62,37,0.1,2,Original,Slow,1,Nitrogen,-110.68872870103365,56.76733532733788,2.3130658440129483,205.0,1.0,56.99004817483291,56.98113842720976,0.9960920747634431,0.9962478268112351
63,37,0.1,2,Original,Slow,1,TOC,-166.23512893413857,32.32226059947887,1.477590724598434,205.0,1.0,32.6212498437508,32.601213015710485,0.9908345251728847,0.9914434957957794
64,38,0.1,5,Original,Slow,0,DOC,-0.27206804153810005,59.24270767727501,2.453548660891861,205.0,1.0,59.237211277775955,59.24270767727501,1.0000927862635747,1.0
65,38,0.1,5,Original,Slow,0,DO,-0.14290071688934886,99.57303738801019,234.21254506093598,205.0,1.0,99.57274402855921,99.57303738801019,1.0000029461822493,1.0
66,38,0.1,5,Original,Slow,0,Ammonium,-0.006770913990205942,19.658184325853355,1.2446818529168393,205.0,1.0,19.7865419150961,19.658184325853355,0.9935128841718008,1.0
67,38,0.1,5,Original,Slow,0,Nitrate,-0.1071533901493989,74.66434567896418,3.947006804437313,205.0,1.0,74.6699378000362,74.66434567896418,0.999925108802327,1.0
68,38,0.1,5,Original,Slow,0,Sulphate,-5.720838136547002e-09,6.643787869660522e-07,1.000000006643788,205.0,1.0,6.663596769888404e-07,6.643787869660522e-07,0.9970272960816904,1.0
69,38,0.1,5,Original,Slow,0,Particulate organic matter,0.0019324015790624625,-67.32474786310124,0.5976402252332464,205.0,1.0,-67.75715171767521,-67.32474786310124,0.9936183289348455,1.0
70,38,0.1,5,Original,Slow,0,Nitrogen,-0.1021623469131816,56.967504092129424,2.3238252369579646,205.0,1.0,56.99004817483291,56.967504092129424,0.9996044207115895,1.0
71,38,0.1,5,Original,Slow,0,TOC,-0.15444846927386752,32.65154627756051,1.4848150844283083,205.0,1.0,32.6212498437508,32.65154627756051,1.0009287330790457,1.0
72,38,0.1,5,Original,Slow,2,DOC,-297.61408364033815,59.17986865415699,2.4497716372532854,205.0,1.0,59.237211277775955,59.24270767727501,0.9990319830663521,0.9989392952216105
73,38,0.1,5,Original,Slow,2,DO,-156.48095601389045,99.57079783866837,232.9904390270058,205.0,1.0,99.57274402855921,99.57303738801019,0.9999804545921694,0.9999775084761842
74,38,0.1,5,Original,Slow,2,Ammonium,-7.356180897761696,19.503459603381526,1.2422894140205911,205.0,1.0,19.7865419150961,19.658184325853355,0.9856931891924683,0.9921292465312606
75,38,0.1,5,Original,Slow,2,Nitrate,-117.01472393420697,74.45793863865616,3.9151107886438297,205.0,1.0,74.6699378000362,74.66434567896418,0.997160849899892,0.9972355340634
76,38,0.1,5,Original,Slow,2,Sulphate,-6.832724011474056e-06,7.246246855043355e-07,1.0000000072462472,205.0,1.0,6.663596769888404e-07,6.643787869660522e-07,1.087437776515506,1.0906800453599699
77,38,0.1,5,Original,Slow,2,Particulate organic matter,2.108157816849678,-67.07236495120681,0.5985430327104355,205.0,1.0,-67.75715171767521,-67.32474786310124,0.9898935130962748,0.9962512609418511
78,38,0.1,5,Original,Slow,2,Nitrogen,-111.26802775345293,56.659125860837776,2.3072907961872726,205.0,1.0,56.99004817483291,56.967504092129424,0.994193331562382,0.994586769488919
79,38,0.1,5,Original,Slow,2,TOC,-166.58531285518092,32.16029339067169,1.4740629787194492,205.0,1.0,32.6212498437508,32.65154627756051,0.9858694423025788,0.9849546823077585
80,38,0.1,5,Original,Slow,5,DOC,-297.29452301297346,59.14391812804114,2.4476160076581883,205.0,1.0,59.237211277775955,59.24270767727501,0.9984250921384982,0.9983324605996738
81,38,0.1,5,Original,Slow,5,DO,-156.40534770174318,99.56914090993635,232.0944417935543,205.0,1.0,99.57274402855921,99.57303738801019,0.9999638142078134,0.9999608681408536
82,38,0.1,5,Original,Slow,5,Ammonium,-7.3403867279582045,19.47066844764688,1.241783559757835,205.0,1.0,19.7865419150961,19.658184325853355,0.9840359437841826,0.9904611801833669
83,38,0.1,5,Original,Slow,5,Nitrate,-116.73891175936255,74.31710824112088,3.8936425437929065,205.0,1.0,74.6699378000362,74.66434567896418,0.9952748111313527,0.9953493540365795
84,38,0.1,5,Original,Slow,5,Sulphate,-7.184560672612862e-06,7.622933449303936e-07,1.0000000076229336,205.0,1.0,6.663596769888404e-07,6.643787869660522e-07,1.1439667963929934,1.1473776103109454
85,38,0.1,5,Original,Slow,5,Particulate organic matter,2.114753473753191,-67.3136148194382,0.5976799921985917,205.0,1.0,-67.75715171767521,-67.32474786310124,0.9934540209115473,0.9998346366824028
86,38,0.1,5,Original,Slow,5,Nitrogen,-110.80573024751554,56.45005451271693,2.296214125668671,205.0,1.0,56.99004817483291,56.967504092129424,0.9905247726680386,0.9909167588143645
87,38,0.1,5,Original,Slow,5,TOC,-164.55884061492162,31.783899428119287,1.4659295849757341,205.0,1.0,32.6212498437508,32.65154627756051,0.9743311363101581,0.9734270823787139
88,38,0.1,5,Original,Slow,1,DOC,-297.4678282918467,59.21206975028248,2.451705673412848,205.0,1.0,59.237211277775955,59.24270767727501,0.9995755788135336,0.9994828405352533
89,38,0.1,5,Original,Slow,1,DO,-156.32034587162627,99.57165480424715,233.4565695881053,205.0,1.0,99.57274402855921,99.57303738801019,0.9999890610194316,0.9999861148780903
90,38,0.1,5,Original,Slow,1,Ammonium,-7.344543340808138,19.492779665267943,1.2421246142174711,205.0,1.0,19.7865419150961,19.658184325853355,0.9851534315046717,0.9915859645100651
91,38,0.1,5,Original,Slow,1,Nitrate,-116.99685098417878,74.52369679982334,3.9252162770345187,205.0,1.0,74.6699378000362,74.66434567896418,0.9980415009772141,0.9981162510986757
92,38,0.1,5,Original,Slow,1,Sulphate,-6.550271677951969e-06,6.953897425127768e-07,1.0000000069538977,205.0,1.0,6.663596769888404e-07,6.643787869660522e-07,1.0435651593672626,1.0466766190539272
